epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3755.55,0.90395,0.46548,0.47413,0.83564,0.72093,0.81561,0.40324,0.99357,0.51307,0.5456,0.00955072,0.00955072,0.00955072
43,3845.1,1.03679,0.45854,0.51022,0.78301,0.77907,0.83113,0.41513,0.99693,0.47875,0.54911,0.00952889,0.00952889,0.00952889
44,3937.74,1.03499,0.49206,0.52664,0.80706,0.77821,0.83089,0.431,0.93883,0.46621,0.53453,0.00950658,0.00950658,0.00950658
45,4029.2,0.91592,0.44174,0.47526,0.8518,0.80233,0.87124,0.42931,1.01052,0.53335,0.54801,0.00948377,0.00948377,0.00948377
46,4119.58,0.85948,0.40922,0.48112,0.8771,0.77907,0.85242,0.43373,0.98534,0.52281,0.53656,0.00946048,0.00946048,0.00946048
47,4209.1,0.93325,0.46893,0.50596,0.85113,0.79779,0.86575,0.41329,0.97599,0.44981,0.53823,0.00943671,0.00943671,0.00943671
48,4297.95,0.95492,0.44881,0.50319,0.84044,0.76559,0.83079,0.44984,0.95845,0.43509,0.53616,0.00941245,0.00941245,0.00941245
49,4385.7,0.8807,0.41879,0.46435,0.84897,0.71512,0.78755,0.42777,0.92086,0.4551,0.53893,0.00938772,0.00938772,0.00938772
50,4473.25,0.9387,0.42204,0.47313,0.88911,0.80814,0.84289,0.41566,0.9455,0.42914,0.53538,0.00936251,0.00936251,0.00936251
51,4561.68,0.94527,0.42391,0.4815,0.83278,0.8314,0.86435,0.41264,0.94213,0.41333,0.54345,0.00933683,0.00933683,0.00933683
52,4650.57,0.98942,0.44389,0.51259,0.87011,0.79651,0.87123,0.45307,0.98638,0.42041,0.54128,0.00931067,0.00931067,0.00931067
53,4739.7,0.90683,0.41641,0.49331,0.81843,0.79651,0.82787,0.41737,0.93859,0.4276,0.52632,0.00928405,0.00928405,0.00928405
54,4826.99,0.90428,0.41359,0.48136,0.90794,0.80279,0.86724,0.44525,0.92141,0.41859,0.5311,0.00925697,0.00925697,0.00925697
55,4914.77,0.96566,0.43645,0.48215,0.85008,0.72674,0.82737,0.45858,0.88182,0.44613,0.52662,0.00922942,0.00922942,0.00922942
56,5003.38,0.94183,0.45732,0.51338,0.92853,0.81977,0.88569,0.48903,0.87259,0.41713,0.53029,0.00920142,0.00920142,0.00920142
57,5092.42,0.90549,0.42669,0.48845,0.83481,0.7907,0.84061,0.45422,0.84974,0.39353,0.53156,0.00917296,0.00917296,0.00917296
58,5181.71,0.95434,0.41343,0.52012,0.89764,0.81574,0.87365,0.48605,0.87393,0.40777,0.5302,0.00914405,0.00914405,0.00914405
59,5270.65,0.9056,0.39231,0.48646,0.86294,0.80533,0.87922,0.50061,0.86898,0.4149,0.52367,0.00911469,0.00911469,0.00911469
60,5360.17,0.87563,0.40917,0.4778,0.90167,0.84302,0.88439,0.44379,0.91483,0.40605,0.52452,0.00908488,0.00908488,0.00908488
61,5448.14,0.84543,0.3999,0.47284,0.88994,0.84617,0.88582,0.49544,0.8514,0.39785,0.52644,0.00905463,0.00905463,0.00905463
62,5535.54,0.83471,0.391,0.45326,0.9217,0.81977,0.90086,0.47662,0.86563,0.4092,0.53005,0.00902395,0.00902395,0.00902395
63,5623.13,0.88198,0.42932,0.47379,0.93938,0.77326,0.86797,0.44657,0.9099,0.41167,0.52545,0.00899282,0.00899282,0.00899282
64,5713.14,0.91308,0.40077,0.49023,0.88827,0.72093,0.79513,0.4462,0.86973,0.41331,0.52839,0.00896127,0.00896127,0.00896127
65,5803.09,0.84059,0.40807,0.45828,0.89849,0.7907,0.82931,0.43712,0.92069,0.40189,0.524,0.00892928,0.00892928,0.00892928
66,5893.54,0.98022,0.43887,0.51927,0.9068,0.84856,0.89349,0.50129,0.86583,0.42456,0.52704,0.00889687,0.00889687,0.00889687
67,5982.83,0.94488,0.43362,0.48725,0.9411,0.80233,0.89592,0.52588,0.81927,0.40255,0.51682,0.00886404,0.00886404,0.00886404
68,6071.52,0.91295,0.42021,0.50793,0.93889,0.84884,0.92442,0.51456,0.85989,0.37928,0.51882,0.00883079,0.00883079,0.00883079
69,6160.29,0.83149,0.35505,0.45293,0.91046,0.82764,0.89312,0.50794,0.80115,0.37867,0.51756,0.00879713,0.00879713,0.00879713
70,6249.53,0.82348,0.38769,0.47007,0.91946,0.86281,0.91529,0.52351,0.80567,0.40536,0.51646,0.00876305,0.00876305,0.00876305
71,6338.36,0.87673,0.41295,0.51029,0.8826,0.87422,0.91225,0.51857,0.79965,0.37356,0.5185,0.00872857,0.00872857,0.00872857
72,6426.08,0.86469,0.38333,0.4978,0.91355,0.86012,0.91697,0.53836,0.79296,0.37805,0.50682,0.00869368,0.00869368,0.00869368
73,6513.62,0.95457,0.41546,0.48895,0.93592,0.83721,0.90348,0.49079,0.83346,0.3822,0.5155,0.00865839,0.00865839,0.00865839
74,6601.85,0.7974,0.36772,0.45339,0.93279,0.81977,0.9008,0.50251,0.87683,0.40888,0.51429,0.00862271,0.00862271,0.00862271
75,6691.21,0.88054,0.40698,0.49238,0.95281,0.82178,0.92675,0.54583,0.84417,0.38835,0.51297,0.00858664,0.00858664,0.00858664
76,6780.01,0.79172,0.37335,0.4728,0.90616,0.8421,0.91597,0.52024,0.81002,0.37011,0.5063,0.00855018,0.00855018,0.00855018
77,6868.49,0.84814,0.36359,0.46477,0.92658,0.83721,0.89832,0.49713,0.81985,0.35647,0.501,0.00851333,0.00851333,0.00851333
78,6957.43,0.887,0.38327,0.49595,0.93224,0.86047,0.93393,0.54715,0.80729,0.35887,0.51521,0.00847611,0.00847611,0.00847611
79,7046.34,0.8579,0.38881,0.48881,0.94603,0.88953,0.93078,0.54265,0.78644,0.36726,0.50954,0.00843851,0.00843851,0.00843851
80,7134.71,0.81891,0.3659,0.47293,0.93497,0.83594,0.92322,0.54239,0.83867,0.39572,0.51648,0.00840054,0.00840054,0.00840054
81,7223.22,0.79764,0.38021,0.46293,0.94086,0.87209,0.9275,0.52826,0.80099,0.36494,0.51127,0.0083622,0.0083622,0.0083622
82,7312.14,0.8306,0.35341,0.46333,0.96174,0.87695,0.92557,0.56785,0.78132,0.35628,0.50703,0.00832349,0.00832349,0.00832349
83,7400.93,0.87048,0.36757,0.49627,0.93036,0.86628,0.9238,0.55673,0.80202,0.36931,0.51043,0.00828443,0.00828443,0.00828443
84,7490.53,0.87383,0.39412,0.4893,0.93512,0.87791,0.92148,0.54047,0.80121,0.37253,0.51406,0.00824502,0.00824502,0.00824502
85,7578.8,0.86406,0.38114,0.49496,0.95518,0.86724,0.92206,0.56044,0.79436,0.36126,0.50904,0.00820525,0.00820525,0.00820525
86,7665.78,0.76654,0.33496,0.43939,0.94948,0.87209,0.92801,0.54889,0.83925,0.36846,0.51092,0.00816514,0.00816514,0.00816514
87,7753.37,0.80544,0.34728,0.42893,0.88746,0.8314,0.88052,0.53248,0.80784,0.37595,0.50258,0.00812468,0.00812468,0.00812468
88,7843.3,0.78019,0.34228,0.45135,0.92307,0.83717,0.91584,0.53672,0.80768,0.38317,0.50414,0.00808389,0.00808389,0.00808389
89,7933.82,0.8647,0.37442,0.48014,0.93725,0.88372,0.93179,0.56292,0.75525,0.35139,0.50602,0.00804277,0.00804277,0.00804277
90,8024.2,0.79701,0.34515,0.46012,0.93674,0.86628,0.92562,0.55591,0.76312,0.35047,0.50151,0.00800131,0.00800131,0.00800131
91,8114.28,0.79513,0.35502,0.4629,0.94892,0.86402,0.91979,0.5556,0.79022,0.35283,0.50481,0.00795954,0.00795954,0.00795954
92,8202.58,0.77465,0.34136,0.44958,0.94893,0.86418,0.92955,0.57316,0.76274,0.34355,0.5054,0.00791744,0.00791744,0.00791744
93,8291.13,0.76106,0.34836,0.43105,0.94891,0.86387,0.92723,0.56336,0.77908,0.35756,0.50454,0.00787503,0.00787503,0.00787503
94,8379.79,0.81482,0.35479,0.45856,0.95651,0.86628,0.92373,0.59765,0.70561,0.34653,0.50179,0.00783231,0.00783231,0.00783231
95,8468.62,0.85873,0.3715,0.48899,0.93837,0.84302,0.93059,0.56809,0.75396,0.34742,0.50555,0.00778929,0.00778929,0.00778929
96,8557.51,0.83018,0.35331,0.47813,0.94877,0.86047,0.92332,0.55834,0.74617,0.33077,0.50101,0.00774596,0.00774596,0.00774596
