epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,688.938,1.49785,0.61682,0.78946,0.84989,0.5814,0.71115,0.42919,1.17797,0.48801,0.69456,0.000971133,0.000971133,0.000971133
43,705.731,1.34724,0.59509,0.75434,0.90317,0.59655,0.71802,0.41865,1.25511,0.49692,0.70724,0.000932325,0.000932325,0.000932325
44,722.601,1.34496,0.57693,0.75623,0.83319,0.60983,0.69758,0.42021,1.14109,0.46632,0.70085,0.000893638,0.000893638,0.000893638
45,739.182,1.37629,0.61846,0.74101,0.90509,0.60985,0.74073,0.45494,1.14661,0.48292,0.69713,0.00085513,0.00085513,0.00085513
46,755.969,1.30869,0.56718,0.75258,0.88747,0.59302,0.72656,0.44983,1.14928,0.49176,0.6977,0.000816861,0.000816861,0.000816861
47,772.586,1.31086,0.58455,0.75928,0.9052,0.5814,0.72927,0.41052,1.31347,0.51347,0.7,0.000778889,0.000778889,0.000778889
48,789.237,1.2401,0.50148,0.7323,0.92594,0.58721,0.7377,0.47211,1.07903,0.44637,0.69404,0.000741274,0.000741274,0.000741274
49,805.671,1.19778,0.50085,0.716,0.92704,0.56977,0.73588,0.48945,1.02602,0.44578,0.70112,0.000704073,0.000704073,0.000704073
50,822.154,1.16163,0.51537,0.73103,0.91315,0.62209,0.76434,0.49071,1.10333,0.43502,0.69642,0.000667344,0.000667344,0.000667344
51,838.646,1.28411,0.53657,0.72327,0.86932,0.61628,0.73947,0.48495,1.08305,0.4522,0.70536,0.000631143,0.000631143,0.000631143
52,854.836,1.2721,0.52512,0.73977,0.84063,0.59302,0.71549,0.42081,1.28463,0.51138,0.70932,0.000595527,0.000595527,0.000595527
53,870.842,1.22462,0.49947,0.74486,0.91746,0.65116,0.75665,0.47733,1.04398,0.45487,0.69782,0.000560549,0.000560549,0.000560549
54,887.122,1.21348,0.51645,0.75482,0.92804,0.61628,0.77808,0.49927,1.09998,0.51024,0.70505,0.000526265,0.000526265,0.000526265
55,903.508,1.07646,0.50993,0.72048,0.95224,0.57962,0.72033,0.47194,1.0616,0.44353,0.70571,0.000492726,0.000492726,0.000492726
56,919.954,1.26052,0.55296,0.72512,0.89415,0.58721,0.7224,0.46435,1.05733,0.44338,0.69889,0.000459985,0.000459985,0.000459985
57,936.181,1.08655,0.46642,0.72934,0.83275,0.60465,0.73565,0.49141,1.03282,0.44465,0.6888,0.000428093,0.000428093,0.000428093
58,952.412,1.13992,0.4947,0.72361,0.8899,0.61628,0.76694,0.51316,1.00409,0.43582,0.68622,0.000397097,0.000397097,0.000397097
59,968.763,1.10839,0.4793,0.71625,0.84677,0.61046,0.76453,0.49767,1.09608,0.43519,0.70056,0.000367046,0.000367046,0.000367046
60,984.821,1.10401,0.47772,0.74992,0.91644,0.64535,0.78509,0.51838,1.00379,0.41055,0.70246,0.000337987,0.000337987,0.000337987
61,1001.03,1.1243,0.45587,0.7397,0.90569,0.6142,0.75293,0.47529,1.1624,0.42956,0.70973,0.000309964,0.000309964,0.000309964
62,1017.35,1.02328,0.4302,0.69454,0.89313,0.62791,0.76648,0.5207,0.96668,0.39021,0.69651,0.000283021,0.000283021,0.000283021
63,1033.55,1.03772,0.43328,0.68294,0.88382,0.61628,0.77485,0.51012,0.99703,0.41558,0.69983,0.000257198,0.000257198,0.000257198
64,1049.82,1.18554,0.50884,0.77454,0.89885,0.66279,0.79309,0.52339,0.97138,0.40676,0.70184,0.000232536,0.000232536,0.000232536
65,1066.09,1.06773,0.46,0.7154,0.90915,0.64535,0.78677,0.51862,0.97056,0.41787,0.69952,0.000209073,0.000209073,0.000209073
66,1082.32,1.10418,0.44713,0.78854,0.90221,0.64371,0.77712,0.52418,0.95781,0.40489,0.69502,0.000186845,0.000186845,0.000186845
67,1098.62,1.11407,0.4638,0.73442,0.89678,0.62209,0.76564,0.52335,0.93726,0.39681,0.69949,0.000165886,0.000165886,0.000165886
68,1114.87,1.09074,0.44771,0.77793,0.90133,0.63734,0.78224,0.52271,1.01241,0.42735,0.69976,0.000146229,0.000146229,0.000146229
69,1131.01,1.10537,0.46458,0.73376,0.91504,0.64535,0.80085,0.5382,0.9461,0.40982,0.69348,0.000127904,0.000127904,0.000127904
70,1147.39,1.00735,0.42692,0.7199,0.92604,0.65517,0.80297,0.53528,0.925,0.39979,0.69695,0.000110938,0.000110938,0.000110938
71,1172.68,0.96451,0.40437,0.67057,0.91622,0.65698,0.80617,0.53423,0.94782,0.40724,0.69707,9.53593e-05,9.53593e-05,9.53593e-05
72,1188.68,0.97868,0.40679,0.66563,0.90986,0.64552,0.79337,0.53167,0.96538,0.40212,0.69428,8.11906e-05,8.11906e-05,8.11906e-05
73,1204.55,0.84862,0.37717,0.62698,0.9223,0.65116,0.7907,0.52979,0.92637,0.39575,0.69211,6.8454e-05,6.8454e-05,6.8454e-05
74,1220.68,0.96671,0.39602,0.64412,0.91045,0.6502,0.79889,0.5358,0.93552,0.3919,0.68947,5.71693e-05,5.71693e-05,5.71693e-05
75,1236.84,0.89131,0.39625,0.67619,0.90199,0.64206,0.78633,0.53707,0.92307,0.39653,0.69307,4.73538e-05,4.73538e-05,4.73538e-05
76,1252.87,0.93325,0.39027,0.66851,0.90378,0.65529,0.80023,0.54155,0.93339,0.40267,0.69373,3.90226e-05,3.90226e-05,3.90226e-05
77,1268.95,0.90481,0.37184,0.67288,0.92946,0.65698,0.80568,0.53983,0.94092,0.40452,0.69449,3.21885e-05,3.21885e-05,3.21885e-05
78,1284.82,0.93571,0.36323,0.67177,0.91912,0.65116,0.8068,0.54461,0.94051,0.40124,0.69475,2.68622e-05,2.68622e-05,2.68622e-05
79,1300.9,0.93344,0.39879,0.66512,0.9236,0.65116,0.80228,0.5446,0.93397,0.39765,0.69419,2.30518e-05,2.30518e-05,2.30518e-05
80,1316.96,0.93012,0.36498,0.69536,0.89865,0.6702,0.8084,0.55097,0.93095,0.39793,0.69337,2.07633e-05,2.07633e-05,2.07633e-05
